Code,Address,City,State
ALC,"ALCAN, AK",Alcan, AK
ANC,"ANCHORAGE, AK",Anchorage, AK
BAR,"BAKER AAF - BAKER ISLAND, AK",Baker Aaf - Baker Island, AK
DAC,"DALTONS CACHE, AK",Daltons Cache, AK
PIZ,"DEW STATION PT LAY DEW, AK",Dew Station Pt Lay Dew, AK
DTH,"DUTCH HARBOR, AK",Dutch Harbor, AK
EGL,"EAGLE, AK",Eagle, AK
FRB,"FAIRBANKS, AK",Fairbanks, AK
HOM,"HOMER, AK",Homer, AK
HYD,"HYDER, AK",Hyder, AK
JUN,"JUNEAU, AK",Juneau, AK
5KE,"KETCHIKAN, AK",Ketchikan, AK
KET,"KETCHIKAN, AK",Ketchikan, AK
MOS,"MOSES POINT INTERMEDIATE, AK",Moses Point Intermediate, AK
NIK,"NIKISKI, AK",Nikiski, AK
NOM,"NOM, AK",Nom, AK
PKC,"POKER CREEK, AK",Poker Creek, AK
ORI,"PORT LIONS SPB, AK",Port Lions Spb, AK
SKA,"SKAGWAY, AK",Skagway, AK
SNP,"ST. PAUL ISLAND, AK",St. Paul Island, AK
TKI,"TOKEEN, AK",Tokeen, AK
WRA,"WRANGELL, AK",Wrangell, AK
HSV,"MADISON COUNTY - HUNTSVILLE, AL",Madison County - Huntsville, AL
MOB,"MOBILE, AL",Mobile, AL
LIA,"LITTLE ROCK, AR (BPS)",Little Rock, AR (BPS)
ROG,"ROGERS ARPT, AR",Rogers Arpt, AR
DOU,"DOUGLAS, AZ",Douglas, AZ
LUK,"LUKEVILLE, AZ",Lukeville, AZ
MAP,MARIPOSA AZ,Mariposa Az,MARIPOSA AZ
NAC,"NACO, AZ",Naco, AZ
NOG,"NOGALES, AZ",Nogales, AZ
PHO,"PHOENIX, AZ",Phoenix, AZ
POR,"PORTAL, AZ",Portal, AZ
SLU,"SAN LUIS, AZ",San Luis, AZ
SAS,"SASABE, AZ",Sasabe, AZ
TUC,"TUCSON, AZ",Tucson, AZ
YUI,"YUMA, AZ",Yuma, AZ
AND,"ANDRADE, CA",Andrade, CA
BUR,"BURBANK, CA",Burbank, CA
CAL,"CALEXICO, CA",Calexico, CA
CAO,"CAMPO, CA",Campo, CA
FRE,"FRESNO, CA",Fresno, CA
ICP,"IMPERIAL COUNTY, CA",Imperial County, CA
LNB,"LONG BEACH, CA",Long Beach, CA
LOS,"LOS ANGELES, CA",Los Angeles, CA
BFL,"MEADOWS FIELD - BAKERSFIELD, CA",Meadows Field - Bakersfield, CA
OAK,"OAKLAND, CA",Oakland, CA
ONT,"ONTARIO, CA",Ontario, CA
OTM,"OTAY MESA, CA",Otay Mesa, CA
BLT,"PACIFIC, HWY. STATION, CA","Pacific, Hwy. Station, Ca","PACIFIC, HWY. STATION, CA"
PSP,"PALM SPRINGS, CA",Palm Springs, CA
SAC,"SACRAMENTO, CA",Sacramento, CA
SLS,"SALINAS, CA (BPS)",Salinas, CA (BPS)
SDP,"SAN DIEGO, CA",San Diego, CA
SFR,"SAN FRANCISCO, CA",San Francisco, CA
SNJ,"SAN JOSE, CA",San Jose, CA
SLO,"SAN LUIS OBISPO, CA",San Luis Obispo, CA
SLI,"SAN LUIS OBISPO, CA (BPS)",San Luis Obispo, CA (BPS)
SPC,"SAN PEDRO, CA",San Pedro, CA
SYS,"SAN YSIDRO, CA",San Ysidro, CA
SAA,"SANTA ANA, CA",Santa Ana, CA
STO,"STOCKTON, CA (BPS)",Stockton, CA (BPS)
TEC,"TECATE, CA",Tecate, CA
TRV,"TRAVIS-AFB, CA",Travis-afb, CA
APA,"ARAPAHOE COUNTY, CO",Arapahoe County, CO
ASE,"ASPEN, CO #ARPT",Aspen, CO #ARPT
COS,"COLORADO SPRINGS, CO",Colorado Springs, CO
DEN,"DENVER, CO",Denver, CO
DRO,"LA PLATA - DURANGO, CO",La Plata - Durango, CO
BDL,"BRADLEY INTERNATIONAL, CT",Bradley International, CT
